Frame	Time	PELO_X	PELO_Y	PELO_Z	PELP_X	PELP_Y	PELP_Z	LKJC_X	LKJC_Y	LKJC_Z	LHJC_X	LHJC_Y	LHJC_Z	LAJC_X	LAJC_Y	LAJC_Z	RHJC_X	RHJC_Y	RHJC_Z	RKJC_X	RKJC_Y	RKJC_Z	RAJC_X	RAJC_Y	RAJC_Z	LTOO_X	LTOO_Y	LTOO_Z	RTOO_X	RTOO_Y	RTOO_Z	TRXO_X	TRXO_Y	TRXO_Z	TRXP_X	TRXP_Y	TRXP_Z
34	0.34	187.7541809	-3438.141113	825.4541626	185.3391266	-3397.592529	951.6541138	117.7675247	-3581.399414	484.1715393	121.7581024	-3444.334473	825.97229	140.783432	-3784.184814	100.5611725	253.7502289	-3431.947021	824.9359741	0	0	0	0	0	0	104.2288055	-3648.465088	48.22737885	0	0	0	158.4614716	-3318.852783	1314.087891	169.930954	-3322.099121	1116.729248
35	0.35	189.9153748	-3422.889648	825.0219727	186.0667114	-3383.094727	951.4260864	117.3677597	-3569.18457	483.262085	123.9536896	-3429.458496	824.8731079	139.894577	-3780.953857	104.9557877	255.8769836	-3416.320801	825.1708984	0	0	0	0	0	0	104.0628967	-3647.600098	46.40887833	0	0	0	159.4525909	-3304.497803	1313.278687	170.9208221	-3307.944336	1115.960449
36	0.36	192.0477753	-3407.531738	824.6981201	186.9234314	-3368.372559	951.2555542	116.7930374	-3555.954102	482.2645874	126.1267929	-3414.459717	823.9644775	138.8721313	-3776.854004	109.8705063	257.968689	-3400.602783	825.4318237	0	0	0	0	0	0	103.8718109	-3646.648193	44.17302704	0	0	0	160.5227966	-3289.962402	1312.735107	171.9606018	-3293.56958	1115.47168
37	0.37	194.1271057	-3392.128662	824.494751	187.8917542	-3353.490234	951.1622314	116.0539932	-3541.564209	481.1396179	128.2487946	-3399.383057	823.2565308	137.7405853	-3771.696289	115.3110199	260.0054016	-3384.874023	825.7329712	0	0	0	0	0	0	103.7062607	-3645.598877	41.58295059	0	0	0	161.6565247	-3275.273682	1312.459595	173.0371246	-3279.000732	1115.265381
38	0.38	196.1309509	-3376.746826	824.427063	188.9478607	-3338.523926	951.1704102	115.1718826	-3525.887695	479.8542786	130.2928467	-3384.274902	822.7578735	136.5366821	-3765.293701	121.2728424	261.9689941	-3369.218506	826.0960693	0	0	0	0	0	0	103.6221619	-3644.411865	38.81667709	0	0	0	162.8361664	-3260.462646	1312.449951	174.1356812	-3264.27002	1115.339111
39	0.39	198.0371399	-3361.451172	824.5107422	190.0640411	-3323.55249	951.3041992	114.1775284	-3508.82373	478.38797	132.2328796	-3369.181885	822.475708	135.3075409	-3757.469727	127.7392044	263.8413696	-3353.719482	826.5457764	0	0	0	0	0	0	103.6711655	-3642.964111	36.18392563	0	0	0	164.0424042	-3245.561279	1312.69873	175.2401123	-3249.412842	1115.685181
40	0.4	199.8249512	-3346.299805	824.7601929	191.2128601	-3308.650146	951.5859985	113.1087799	-3490.309326	476.7365723	134.0447998	-3354.147949	822.4150391	134.1068573	-3748.06958	134.678833	265.6050415	-3338.451904	827.1051025	0	0	0	0	0	0	103.8878937	-3640.991455	34.10113144	0	0	0	165.2549896	-3230.603516	1313.194824	176.3336639	-3234.469482	1116.291504
41	0.41	201.4760742	-3331.343994	825.1849976	192.3683319	-3293.884521	952.0325317	112.0070801	-3470.322998	474.9163513	135.7081146	-3339.210938	822.578186	132.9891968	-3736.962891	142.0421753	267.243988	-3323.476074	827.791626	0	0	0	0	0	0	104.2787628	-3638.050537	33.01525879	0	0	0	166.4533691	-3215.62207	1313.924438	177.3989716	-3219.480225	1117.143188
42	0.42	202.9766998	-3316.616211	825.7905273	193.5095673	-3279.302979	952.6548462	110.9136963	-3448.891846	472.9658203	137.2081299	-3324.4021	822.9645996	132.0037231	-3724.049805	149.756546	268.7452698	-3308.830078	828.6161499	275.5567017	-3188.375244	475.125061	248.3173218	-3118.988281	69.82548523	104.8182755	-3633.540039	33.29281998	272.21698	-2967.773438	71.72659302	167.6172028	-3200.650879	1314.869019	178.4194031	-3204.487305	1118.219604
43	0.43	204.3190155	-3302.133789	826.576355	194.6217651	-3264.9375	953.4575806	109.865593	-3426.088135	470.9451904	138.5374603	-3309.740723	823.5709839	131.1888123	-3709.259766	157.7196198	270.1005249	-3294.525879	829.5814209	274.7528076	-3172.160156	477.5927734	247.7400513	-3115.398682	69.92716217	105.4543076	-3626.789307	35.1179924	272.2940979	-2964.28418	68.45521545	168.7270966	-3185.721924	1316.01001	179.3787537	-3189.532471	1119.499756
